target_index,tic_id,tic_name,ads_search_query,simbad_object_query,simbad_coordinate_query,ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day,recommended_next_crossmatch,literature_search_name,simbad_main_id,literature_search_aliases,mast_hip,mast_tyc,mast_gaia,mast_twomass,mast_kic
70,27014182,TIC 27014182,"""TIC 27014182""",TIC 27014182,294.11055500 50.22110012,294.110555,50.22110012,54.2319,4.48994,3.537,6680.78,4.271476,81.27553233,184.4727967,92.0169788245304,5,19.1702039217772,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 185395,tet Cyg,HD 185395 | HR 7469 | tet Cyg | 13 Cyg | HIP 96441 | TYC 3564-3157-1 | Gaia DR3 2135110401277424384 | Gaia DR2 2135110401277424384 | 2MASS J19362654+5013155 | TIC 27014182,96441,3564-03157-1,2135110401277424384,19362654+5013155,11918630
71,1102093580,TIC 1102093580,"""TIC 1102093580""",TIC 1102093580,225.94797730 47.65448026,225.9479773,47.65448026,78.0881,5.6352,3.00999999,5851.0,1.921616791,80.98744273,190.0033015,25.628285734158,5,5.33922619461626,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 133640B,i Boo B,HD 133640B | 44 Boo B | i Boo B | HIP 73695B | TYC 3484-1580-2 | Gaia DR3 1588936345294751872 | Gaia DR2 1588936555749388928 | TIC 1102093580,,,1588936555749388928,,
72,1102093577,TIC 1102093577,"""TIC 1102093577""",TIC 1102093577,225.94679020 47.65397724,225.9467902,47.65397724,77.246,5.1361,3.00999999,5851.0,1.921616791,80.11407629,187.954311,26.4272505539289,5,5.50567719873519,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 133640A,i Boo A,HD 133640A | i Boo A | 44 Boo A | HIP 73695A | TYC 3484-1580-1 | Gaia DR2 1588936345294751872 | TIC 1102093577,,,1588936345294751872,,
73,409104974,TIC 409104974,"""TIC 409104974""",TIC 409104974,79.78531443 40.09905268,79.78531443,40.09905268,80.1054,4.70109,3.038,5873.0,1.762501,79.49537431,186.3228463,22.5746874695925,5,4.70305988949844,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 34411,lam Aur,HD 34411 | HR 1729 | lam Aur | 15 Aur | HIP 24813 | TYC 2900-2157-1 | Gaia DR3 188771135583573504 | Gaia DR2 188771135583573504 | 2MASS J05190848+4005565 | TIC 409104974,24813,2900-02157-1,188771135583573504,05190848+4005565,
74,381949122,TIC 381949122,"""TIC 381949122""",TIC 381949122,76.37773408 -57.47270248,76.37773408,-57.47270248,86.0239,4.71,3.371,6153.02,1.466169,77.00276526,178.3459035,15.4975604394182,5,3.2286584248788,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 33262,zet Dor,HD 33262 | HR 1674 | zet Dor | HIP 23693 | TYC 8514-2291-1 | Gaia DR3 4763906879239461632 | Gaia DR2 4763906879239461632 | 2MASS J05053067-5728217 | TIC 381949122,23693,8514-02291-1,4763906879239461632,05053067-5728217,
75,343813545,TIC 343813545,"""TIC 343813545""",TIC 343813545,49.84040002 3.37019372,49.84040002,3.370193721,109.341,4.83858,2.957,5711.88,0.8572931,76.17006959,179.8125465,6.51056285625099,5,1.35636726171896,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 20630,kap01 Cet,HD 20630 | HR 996 | kap01 Cet | kap Cet | 96 Cet | HIP 15457 | TYC 59-1947-1 | Gaia DR3 3269362645115584640 | Gaia DR2 3269362645115584640 | 2MASS J03192169+0322126 | TIC 343813545,15457,0059-01947-1,3269362645115584640,03192169+0322126,
76,254425584,TIC 254425584,"""TIC 254425584""",TIC 254425584,235.29741220 -44.66120935,235.2974122,-44.66120935,57.4968,4.64,3.802,6645.0,3.329396,76.16698547,173.0978668,69.1472999869813,4,11.5245499978302,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 139664,g Lup,HD 139664 | HR 5825 | g Lup | HIP 76829 | TYC 7849-3219-1 | Gaia DR3 5989102478619519616 | Gaia DR2 5989102478619519616 | 2MASS J15411138-4439401 | TIC 254425584,76829,7849-03219-1,5989102478619519616,15411138-4439401,
77,63782132,TIC 63782132,"""TIC 63782132""",TIC 63782132,34.26348071 34.22423430,34.26348071,34.2242343,90.845,4.87193,3.076,5608.69,1.226864,76.02336667,180.311411,13.8716299297459,5,2.88992290203039,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 13974,del Tri,HD 13974 | HR 660 | 8 Tri | del Tri | HIP 10644 | TYC 2318-1874-1 | Gaia DR3 326173044957518080 | Gaia DR2 326173044957518080 | 2MASS J02170303+3413278 | TIC 63782132,10644,2318-01874-1,326173044957518080,02170303+3413278,
78,454082369,TIC 454082369,"""TIC 454082369""",TIC 454082369,176.62946660 -40.50035555,176.6294666,-40.50035555,107.621,4.89,3.489,5672.0,0.8440095,74.50876779,176.2087103,6.82853561995918,4,1.1380892699932,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 102365,HD 102365,HD 102365 | HR 4523 | HIP 57443 | TYC 7745-1381-1 | Gaia DR3 5381537023379295232 | Gaia DR2 5381537023379295232 | 2MASS J11463107-4030013 | TIC 454082369,57443,7745-01381-1,5381537023379295232,11463107-4030013,
79,1277142191,TIC 1277142191,"""TIC 1277142191""",TIC 1277142191,258.83659900 -26.60170005,258.836599,-26.60170005,167.822,5.0514,1.840000033,5121.0,0.3320436,74.49242131,180.8219854,1.36752160472914,5,0.284900334318571,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 155886,36 Oph A,HD 155886 | HR 6402 | 36 Oph A | TYC 6820-326-1 | Gaia DR3 4109030160308320128 | Gaia DR2 4109030160308320128 | TIC 1277142191,,,4109030160308320128,,
80,285544488,TIC 285544488,"""TIC 285544488""",TIC 285544488,13.26748285 61.12397273,13.26748285,61.12397273,53.1896,4.7942,3.638,6114.22,3.577349,74.48356854,172.7881172,101.164211633961,4,16.8607019389935,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 5015,HD 5015,HD 5015 | HR 244 | HIP 4151 | TYC 4017-2318-1 | Gaia DR3 427322415301550208 | Gaia DR2 427322415301550208 | 2MASS J00530419+6107262 | TIC 285544488,4151,4017-02318-1,427322415301550208,00530419+6107262,
81,165602023,TIC 165602023,"""TIC 165602023""",TIC 165602023,316.73026690 38.74204504,316.7302669,38.74204504,286.146,6.06979,2.544,3948.45,0.1042091,73.98982226,190.5132955,0.266349626131731,5,0.0554895054441105,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 201092,61 Cyg B,HD 201092 | HR 8086 | 61 Cyg B | HIP 104217 | TYC 3168-2798-1 | Gaia DR3 1872046574983497216 | Gaia DR2 1872046574983497216 | 2MASS J21065473+3844265 | TIC 165602023,104217,3168-02798-1,1872046574983497216,21065473+3844265,
82,22516402,TIC 22516402,"""TIC 22516402""",TIC 22516402,271.75662470 30.56210815,271.7566247,30.56210815,63.5358,5.05874,3.107,5947.27,2.44,73.96675649,172.8062145,51.4775600797035,4,8.57959334661724,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 165908,b Her,HD 165908 | HD 165908A | HR 6775 | b Her | 99 Her | b Her A | HIP 88745 | TYC 2621-2683-1 | Gaia DR3 4590758227641991424 | Gaia DR2 4590758227640885248 | 2MASS J18070158+3033434 | TIC 22516402,88745,2621-02683-1,4590758227640885248,18070158+3033434,
83,1277142190,TIC 1277142190,"""TIC 1277142190""",TIC 1277142190,258.83743590 -26.60282206,258.8374359,-26.60282206,167.776,5.0597,1.840000033,5143.0,0.3274672,73.89403778,179.1769375,1.34790144701442,4,0.224650241169071,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 155885,36 Oph B,HD 155885 | HR 6401 | 36 Oph B | TYC 6820-326-2 | Gaia DR3 4109030160308317312 | Gaia DR2 4109030160308317312 | TIC 1277142190,,,4109030160308317312,,
